TIPO;NÚMERO DE DESENHO;TITULO;REVISAO;DATA;DESCRICAO;ID_CAD
DIMENSIONAMENTO;01;;-;-;-;17CD
;02;;-;-;-;1805
;03;;-;-;-;183D
DIMENSIONAMENTO;04;;-;-;-;1973
DIMENSIONAMENTO;05;;-;-;-;19AB
